Wert,Anzahl
Pelifrant,1
Elichar,1
Effranes,1
Ebruin,1
Protheis,1
marcgrâve,1
Polixinart,1
Igolaus,1
hêre,1
ungetriuwe,1
schalc,1
wiht,1
vriedel,1
èllenthaft,1
vîant,1
adelbaere,1
Laurelian,1
Limacris,1
