Namer;Total mentions;Name mentions;Share of name mentions (%)
Helena;28;6;21
<wirt>;18;9;50
Priamus;18;9;50
<hirte>;15;11;73
Jupiter;9;5;56
Helenus;7;5;71
Pallas & Juno;7;4;57
Venus;7;4;57
Hector;6;4;67
Menelaus;5;2;40
Peleus;5;2;40
Cassandra;4;3;75
[die ritter];4;1;25
Panfilot;3;0;0
Pantus;3;2;67
[Menge];3;0;0
Deifebus;2;1;50
Egenoe;2;0;0
Merkur;2;1;50
Troilus;2;2;100
<amme>;1;0;0
Agamennon;1;1;100
Juno;1;0;0
Pallas;1;1;100
Pollux & Castor & Achilles;1;1;100
[alle];1;0;0
[göte schar];1;0;0
