Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
Ruolant,175,0,1141.47,positive
helt,34,43,82.96,negative
nëve,12,2,62.34,positive
hêrre,6,215,27.95,negative
gegen,1,0,6.52,positive
gimme,1,0,6.52,positive
küene,1,0,6.52,positive
künne,1,0,6.52,positive
milte,1,0,6.52,positive
urkünde,1,0,6.52,positive
