Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
keiser,223,2,1144.81,positive
Karl,55,0,290.24,positive
hêrre,71,151,49.49,negative
voget,8,1,33.66,positive
künic,5,124,27.98,negative
rîche,4,0,21.11,positive
bluot,1,0,5.28,positive
houbet,1,0,5.28,positive
kempfe,1,0,5.28,positive
knëht,1,0,5.28,positive
schalc,1,0,5.28,positive
tân,1,0,5.28,positive
veste,1,0,5.28,positive
