Namer;Total mentions;Name mentions;Share of name mentions (%)
Genelûn;15;15;100
Karl;14;11;79
Marsilie;9;9;100
Olivier;5;3;60
[cristen];4;1;25
[haiden];4;4;100
Aldâ;3;2;67
Margarîz;3;1;33
Targîs;3;2;67
Walther;3;0;0
Adalrôt;2;2;100
Falsaron;2;2;100
Turpîn;2;2;100
Zernubele;2;2;100
[karlinge];2;2;100
<bote>;1;1;100
<suriân>;1;1;100
Ammirat;1;1;100
Blandscandîz;1;1;100
Brechmundâ;1;1;100
Cursabile;1;1;100
Icalrions & Clariens;1;1;100
Malprimes;1;1;100
Oliboris;1;1;100
Tirrich;1;1;100
