Wort,Zielanzahl,Referenzanzahl,Keyness
Ruolant,175,0,1189.64
helt,34,43,91.01
got,1,301,73.94
nëve,12,2,65.58
keiser,1,226,53.21
hêrre,6,215,23.06
Karlinge,1,0,6.8
durch,1,0,6.8
gegen,1,0,6.8
gimme,1,0,6.8
junc,1,0,6.8
künne,1,0,6.8
milte,1,0,6.8
rîtaere,1,0,6.8
sieden,1,0,6.8
urkünde,1,0,6.8
hergeselle,1,1,3.09
êre,1,1,3.09
dëgen,3,12,2.18
geselle,3,13,1.85
küene,2,7,1.85
vîant,1,3,1.17
vil,2,10,0.87
liep,4,25,0.81
guot,2,11,0.65
maere,2,11,0.65
