Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
Karlinge,1,0,9.02,positive
durch,1,0,9.02,positive
junc,1,0,9.02,positive
rîtaere,1,0,9.02,positive
sieden,1,0,9.02,positive
maere,2,6,5.83,negative
liep,4,25,5.73,negative
keiser,1,1,5.15,neutral
