Token;Target count;Reference count;Keyness;Polarity
Ruolant;174;0;1140.28;positive
helt;34;44;82.49;negative
nëve;12;2;62.7;positive
hêrre;6;216;27.61;negative
gimme;1;0;6.55;positive
küene;1;0;6.55;positive
künne;1;0;6.55;positive
milte;1;0;6.55;positive
urkünde;1;0;6.55;positive
