Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
dienest,4,0,24.39,positive
roemesch,4,0,24.39,positive
Rôm,3,0,18.29,positive
hêr,6,5,16.57,positive
weise,2,0,12.19,positive
witewe,2,0,12.19,positive
got,5,8,8.47,negative
arbeit,1,0,6.1,positive
britten,1,0,6.1,positive
entrinnen,1,0,6.1,positive
geloube,1,0,6.1,positive
gesëgenen,1,0,6.1,positive
grimmec,1,0,6.1,positive
grunt,1,0,6.1,positive
kristenheit,1,0,6.1,positive
under,1,0,6.1,positive
veige,1,0,6.1,positive
übermüete,1,0,6.1,positive
