Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
lustsam,15,18,36.32,negative
schoene,8,5,27.84,positive
alsô,1,0,6.4,positive
keiser,1,0,6.4,positive
wolgetân,2,2,5.46,neutral
edel,1,36,5.12,negative
