Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
junc,1,22,11.87,negative
Anchises,2,0,7.56,positive
boese,2,0,7.56,positive
laster,2,0,7.56,positive
starc,2,0,7.56,positive
ungetriuwe,2,0,7.56,positive
unsaelec,2,0,7.56,positive
âne,2,0,7.56,positive
edel,16,21,6.52,negative
maere,12,16,4.71,negative
