Wort,Zielanzahl,Referenzanzahl,Keyness,Typ
tohter,44,3,321.78,positive
Lavinia,34,0,273.1,positive
maget,28,10,163.55,positive
juncvrouwe,20,2,141.68,positive
wîp,13,6,71.33,positive
magedîn,6,0,48.19,positive
brût,1,0,8.03,positive
kint,1,0,8.03,positive
tump,1,0,8.03,positive
unwîs,1,0,8.03,positive
geborn,1,1,4.22,neutral
wine,1,1,4.22,neutral
